market_id,question,action,entry_price,predicted_prob,risk_amount,shares,timestamp,status,exit_price,pnl
540819,Will Jesus Christ return before GTA VI?,BUY_YES,0.49,0.6541555097901959,20.0,40.816326530612244,2026-04-14T23:25:45.702555,OPEN,,0.0
540843,Will China invades Taiwan before GTA VI?,BUY_YES,0.52,0.6349537564059463,20.0,38.46153846153846,2026-04-14T23:25:45.702555,OPEN,,0.0
544092,Will Harvey Weinstein be sentenced to no prison time?,BUY_YES,0.343,0.3933991528952384,20.0,58.30903790087463,2026-04-14T23:25:45.702555,OPEN,,0.0
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,BUY_YES,0.059,0.13025990185441594,20.0,338.98305084745766,2026-04-14T23:25:45.702555,OPEN,,0.0
553824,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,BUY_YES,0.14,0.20397126199010812,20.0,142.85714285714283,2026-04-14T23:25:45.703551,OPEN,,0.0
553826,Will the Edmonton Oilers win the 2026 NHL Stanley Cup?,BUY_NO,0.07,0.01,20.0,21.505376344086024,2026-04-14T23:25:45.703551,OPEN,,0.0
553827,Will the Dallas Stars win the 2026 NHL Stanley Cup?,BUY_NO,0.073,0.015594657014622391,20.0,21.57497303128371,2026-04-14T23:25:45.703551,OPEN,,0.0
553828,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,BUY_YES,0.224,0.3282011624562642,20.0,89.28571428571428,2026-04-14T23:25:45.703551,OPEN,,0.0
553829,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,BUY_YES,0.075,0.16780994842450914,20.0,266.6666666666667,2026-04-14T23:25:45.703551,OPEN,,0.0
553830,Will the Tampa Bay Lightning win the 2026 NHL Stanley Cup?,BUY_YES,0.138,0.3233261679008555,20.0,144.92753623188403,2026-04-14T23:25:45.703551,OPEN,,0.0
553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,BUY_YES,0.043,0.1243700945931704,20.0,465.1162790697675,2026-04-14T23:25:45.703551,OPEN,,0.0
553852,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,BUY_YES,0.031,0.09283469124631699,20.0,645.1612903225806,2026-04-14T23:25:45.703551,OPEN,,0.0
553856,Will the Oklahoma City Thunder win the 2026 NBA Finals?,BUY_NO,0.42,0.35702110610073284,20.0,34.48275862068965,2026-04-14T23:25:45.703551,OPEN,,0.0
553857,Will the Cleveland Cavaliers win the 2026 NBA Finals?,BUY_YES,0.04,0.0974787470083611,20.0,500.0,2026-04-14T23:25:45.703551,OPEN,,0.0
553858,Will the New York Knicks win the 2026 NBA Finals?,BUY_YES,0.04,0.16986713356574948,20.0,500.0,2026-04-14T23:25:45.703551,OPEN,,0.0
553860,Will the Houston Rockets win the 2026 NBA Finals?,BUY_YES,0.023,0.16443998292820308,20.0,869.5652173913044,2026-04-14T23:25:45.705153,OPEN,,0.0
553865,Will the Denver Nuggets win the 2026 NBA Finals?,BUY_YES,0.11,0.17453244162236276,20.0,181.8181818181818,2026-04-14T23:25:45.705153,OPEN,,0.0
553879,Will the Portland Trail Blazers win the 2026 NBA Finals?,BUY_YES,0.003,0.10458298785718557,20.0,6666.666666666667,2026-04-14T23:25:45.706261,OPEN,,0.0
553882,Will the Charlotte Hornets win the 2026 NBA Finals?,BUY_YES,0.005,0.0794852038076129,20.0,4000.0,2026-04-14T23:25:45.706261,OPEN,,0.0
556062,MegaETH market cap (FDV) >$2B one day after launch?,BUY_NO,0.12,0.01,20.0,22.727272727272727,2026-04-14T23:25:45.706261,OPEN,,0.0
556108,Will MegaETH perform an airdrop by June 30? ,BUY_YES,0.45,0.5342010364650976,20.0,44.44444444444444,2026-04-14T23:25:45.706261,OPEN,,0.0
